2.0.1204251971404,2,0.0,0.0
2.1000001112.1359642163208,1,1.0,1.0
2.1000002876.1359237221046,1,0.0,0.0
2.1000003285.1359133215881,1,0.0,0.0
2.1000003412.1359065221478,1,0.0,0.0
2.1000004600.1357945576734,5,0.0,0.0
2.1000005744.1359946346250,1,0.0,0.0
2.1000013636.1359237009020,1,0.0,0.0
2.1000017696.1360002725359,1,0.0,0.0
2.1000025219.1357587636457,1,0.0,0.0
2.1000030332.1359292402674,1,0.0,0.0
2.1000035843.1360075140656,1,0.0,0.0
2.1000040696.1359810118736,1,0.0,0.0
2.1000050499.1359924586609,1,0.0,0.0
2.1000052789.1356896576763,1,0.0,0.0
2.1000055741.1359848437130,1,0.0,0.0
2.1000056812.1359172303589,1,0.0,0.0
2.1000060341.1356013702196,1,0.0,0.0
2.1000060343.1357630243380,1,0.0,0.0
2.1000062630.1359400997124,1,0.0,0.0
2.1000064221.1359260261311,1,0.0,0.0
2.1000066814.1359220569202,1,0.0,0.0
2.1000069699.1360074116986,1,0.0,0.0
2.1000070299.1359084176518,1,0.0,0.0
2.10000756.1359767947506,1,0.0,0.0
2.1000076913.1358980540871,2,0.0,0.0
2.1000077582.1360080403352,1,0.0,0.0
2.1000079687.1359843558471,1,0.0,0.0
2.1000083731.1360087961269,1,0.0,0.0
2.1000088989.1359599867460,2,0.0,0.0
2.1000095888.1359503501737,1,0.0,0.0
2.1000097928.1359170028326,1,0.0,0.0
2.1000107075.1359570982087,4,0.0,0.0
2.1000107263.1360024792994,1,0.0,0.0
2.1000108622.1360079376150,1,0.0,0.0
2.1000111635.1355887865200,1,0.0,0.0
2.1000113494.1359984083986,1,0.0,0.0
2.1000116927.1359846273227,1,0.0,0.0
2.1000127484.1360214913330,1,0.0,0.0
2.1000128111.1358784964138,2,0.0,0.0
2.1000131479.1359380332675,1,0.0,0.0
2.1000132536.1355840853218,1,0.0,0.0
2.1000141154.1359616715901,1,0.0,0.0
2.1000143023.1359861097007,1,0.0,0.0
2.100014373.1359985881397,1,0.0,0.0
2.1000144844.1360032664450,1,0.0,0.0
2.1000147814.1357892022250,3,0.0,0.0
2.1000150076.1359369009411,1,0.0,0.0
2.1000152720.1359589416605,1,0.0,0.0
2.1000155640.1359599760813,1,0.0,0.0
2.1000162325.1358997605039,1,0.0,0.0
2.1000163736.1359074837001,2,0.0,0.0
2.1000165025.1360028537548,1,0.0,0.0
2.1000165720.1359937792847,1,0.0,0.0
2.1000170199.1358970033524,3,0.0,0.0
2.1000178148.1359077493678,1,0.0,0.0
2.100018345.1359298869240,1,0.0,0.0
2.1000185814.1360083391906,1,0.0,0.0
2.1000186147.1359664312874,1,0.0,0.0
2.1000190216.1359602493524,1,0.0,0.0
2.1000196021.1358979669797,1,0.0,0.0
2.100020219.1359310753227,1,0.0,0.0
2.1000203580.1359426110167,1,0.0,0.0
2.1000204261.1356462775667,1,0.0,0.0
2.1000204362.1356805753330,1,0.0,0.0
2.1000204609.1360072309369,1,0.0,0.0
2.1000204917.1359666771842,1,0.0,0.0
2.1000205599.1359251092531,1,0.0,0.0
2.1000206562.1358971664707,2,1.0,1.0
2.1000209457.1355725690323,1,0.0,0.0
2.1000214699.1359761531001,2,0.0,0.0
2.1000223453.1359752393981,5,0.0,0.0
2.1000227950.1359313474736,1,0.0,0.0
2.100023675.1359064289147,1,0.0,0.0
2.1000237183.1359825903247,2,0.0,0.0
2.1000241638.1358110053224,1,0.0,0.0
2.1000244689.1360074943476,1,0.0,0.0
2.1000246930.1359582831787,1,0.0,0.0
2.1000251449.1359473428359,2,0.0,0.0
2.1000255109.1357169488663,1,0.0,0.0
2.1000272788.1359381134619,1,0.0,0.0
2.100027531.1359829280328,1,0.0,0.0
2.1000291291.1359484014718,1,0.0,0.0
2.1000291486.1359638681233,1,0.0,0.0
2.1000295279.1359259957149,1,0.0,0.0
